Time: 04.07.2022 11:04:06;
Team: Senior Men;
Athlete name: rfd;
Device: NORDIC02;
Comment: ;
#SampleTime[s];Force_left[N];Force_right[N];
0.6600;0.06;-0.52;
0.6610;0.13;-0.38;
0.6620;0.08;-0.30;
0.6630;0.11;-0.20;
0.6640;-0.04;0.00;
0.6650;-0.06;0.12;
0.6660;-0.09;0.28;
0.6670;-0.11;0.32;
0.6680;-0.15;0.60;
0.6690;-0.51;1.30;
0.6700;-0.49;1.42;
0.6710;-0.50;1.28;
0.6720;-0.37;0.84;
0.6730;-0.33;0.33;
0.6740;-0.13;0.20;
0.6750;0.23;-0.46;
0.6760;0.38;-1.08;
0.6770;0.55;-1.44;
0.6780;0.51;-1.64;
0.6790;0.33;-0.87;
0.6800;0.11;-0.55;
0.6810;0.14;-0.59;
0.6820;0.16;-0.20;
0.6830;0.01;-0.09;
0.6840;0.02;-0.11;
0.6850;-0.05;0.03;
0.6860;-0.06;0.23;
0.6870;-0.03;0.31;
0.6880;-0.14;0.60;
0.6890;-0.44;1.39;
0.6900;-0.49;1.52;
0.6910;-0.56;1.05;
0.6920;-0.40;0.89;
0.6930;-0.00;0.41;
0.6940;-0.15;0.12;
0.6950;-0.06;-0.27;
0.6960;0.24;-1.14;
0.6970;0.24;-1.13;
0.6980;0.44;-1.51;
0.6990;0.31;-1.11;
0.7000;0.11;-0.43;
0.7010;0.03;-0.53;
0.7020;-0.12;-0.13;
0.7030;0.03;-0.01;
0.7040;-0.05;0.16;
0.7050;0.09;-0.08;
0.7060;-0.11;0.34;
0.7070;-0.07;0.24;
0.7080;-0.15;0.54;
0.7090;-0.47;1.19;
0.7100;-0.53;1.26;
0.7110;-0.48;1.46;
0.7120;-0.19;0.86;
0.7130;-0.18;0.48;
0.7140;-0.05;0.09;
0.7150;0.09;-0.36;
0.7160;0.23;-1.04;
0.7170;0.35;-1.17;
0.7180;0.54;-1.41;
0.7190;0.38;-1.23;
0.7200;0.22;-0.65;
0.7210;0.19;-0.52;
0.7220;0.04;-0.37;
0.7230;0.05;-0.16;
0.7240;-0.13;0.06;
0.7250;-0.22;0.09;
0.7260;-0.27;0.21;
0.7270;-0.17;0.21;
0.7280;-0.09;0.58;
0.7290;-0.46;1.31;
0.7300;-0.46;1.54;
0.7310;-0.50;1.12;
0.7320;-0.29;0.84;
0.7330;-0.24;0.33;
0.7340;-0.11;0.11;
0.7350;0.20;-0.29;
0.7360;0.20;-1.00;
0.7370;0.40;-1.20;
0.7380;0.38;-1.44;
0.7390;0.30;-1.13;
0.7400;-0.02;-0.77;
0.7410;0.08;-0.46;
0.7420;0.04;-0.25;
0.7430;-0.10;-0.16;
0.7440;-0.03;0.11;
0.7450;-0.10;0.11;
0.7460;-0.27;0.42;
0.7470;-0.16;0.28;
0.7480;-0.23;0.57;
0.7490;-0.53;1.34;
0.7500;-0.36;1.44;
0.7510;-0.44;1.22;
0.7520;-0.33;0.79;
0.7530;-0.16;0.41;
0.7540;-0.08;0.03;
0.7550;-0.02;-0.34;
0.7560;0.17;-0.89;
0.7570;0.38;-1.36;
0.7580;0.39;-1.70;
0.7590;0.20;-0.89;
0.7600;-0.07;-0.50;
0.7610;0.25;-0.58;
0.7620;0.18;-0.31;
0.7630;0.13;-0.19;
0.7640;0.07;-0.03;
0.7650;-0.08;0.11;
0.7660;-0.12;0.37;
0.7670;-0.15;0.22;
0.7680;-0.25;0.63;
0.7690;-0.50;1.32;
0.7700;-0.44;1.41;
0.7710;-0.50;1.16;
0.7720;-0.31;0.90;
0.7730;-0.11;0.18;
0.7740;0.05;0.06;
0.7750;0.04;-0.27;
0.7760;0.27;-1.00;
0.7770;0.37;-1.16;
0.7780;0.54;-1.62;
0.7790;0.40;-1.20;
0.7800;0.21;-0.59;
0.7810;0.24;-0.35;
0.7820;0.00;-0.24;
0.7830;0.05;-0.26;
0.7840;-0.11;-0.12;
0.7850;0.05;0.11;
0.7860;-0.09;0.32;
0.7870;-0.12;0.24;
0.7880;-0.17;0.60;
0.7890;-0.49;1.34;
0.7900;-0.56;1.50;
0.7910;-0.52;1.39;
0.7920;-0.26;0.86;
0.7930;-0.16;0.39;
0.7940;-0.21;0.05;
0.7950;0.03;-0.36;
0.7960;0.25;-0.97;
0.7970;0.26;-1.39;
0.7980;0.47;-1.47;
0.7990;0.30;-1.22;
0.8000;0.05;-0.32;
0.8010;0.15;-0.43;
0.8020;0.05;-0.31;
0.8030;0.14;-0.11;
0.8040;-0.09;-0.10;
0.8050;-0.05;0.13;
0.8060;0.05;0.20;
0.8070;-0.09;0.16;
0.8080;-0.07;0.49;
0.8090;-0.61;1.35;
0.8100;-0.44;1.34;
0.8110;-0.54;1.17;
0.8120;-0.23;0.98;
0.8130;0.08;0.49;
0.8140;-0.03;0.18;
0.8150;0.26;-0.26;
0.8160;0.15;-1.04;
0.8170;0.53;-1.26;
0.8180;0.51;-1.47;
0.8190;0.28;-1.26;
0.8200;0.17;-0.48;
0.8210;0.02;-0.29;
0.8220;0.03;-0.32;
0.8230;0.11;-0.25;
0.8240;0.08;0.15;
0.8250;-0.05;0.23;
0.8260;-0.10;0.27;
0.8270;-0.13;0.43;
0.8280;-0.29;0.59;
0.8290;-0.39;1.24;
0.8300;-0.48;1.46;
0.8310;-0.44;1.38;
0.8320;-0.20;0.89;
0.8330;-0.13;0.43;
0.8340;-0.04;0.24;
0.8350;0.15;-0.42;
0.8360;0.15;-0.98;
0.8370;0.42;-1.16;
0.8380;0.51;-1.54;
0.8390;0.18;-1.09;
0.8400;0.27;-0.51;
0.8410;0.18;-0.55;
0.8420;0.16;-0.23;
0.8430;0.05;-0.25;
0.8440;-0.05;0.05;
0.8450;0.01;0.05;
0.8460;-0.02;0.28;
0.8470;-0.04;0.42;
0.8480;-0.30;0.65;
0.8490;-0.30;1.25;
0.8500;-0.59;1.29;
0.8510;-0.65;1.25;
0.8520;-0.16;0.88;
0.8530;-0.31;0.37;
0.8540;-0.21;0.15;
0.8550;0.02;-0.27;
0.8560;0.24;-0.98;
0.8570;0.37;-1.18;
0.8580;0.32;-1.53;
0.8590;0.16;-0.98;
0.8600;0.09;-0.58;
0.8610;0.19;-0.47;
0.8620;-0.01;-0.25;
0.8630;0.08;-0.14;
0.8640;-0.12;-0.00;
0.8650;-0.12;0.13;
0.8660;-0.13;0.42;
0.8670;-0.18;0.16;
0.8680;-0.28;0.61;
0.8690;-0.39;1.11;
0.8700;-0.52;1.52;
0.8710;-0.43;1.28;
0.8720;-0.26;0.83;
0.8730;-0.21;0.60;
0.8740;0.02;0.23;
0.8750;-0.05;-0.24;
0.8760;0.23;-1.16;
0.8770;0.33;-1.15;
0.8780;0.60;-1.44;
0.8790;0.38;-1.17;
0.8800;0.09;-0.49;
0.8810;0.19;-0.49;
